date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:05	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22648c837f-24a3%22	https://sudoariel.github.io/robots.txt		(from )
16:42:05	11295/11295	---M-Z	200	added ('OK')	text/html	etag:W/%2264526521-2c1f%22	https://sudoariel.github.io/	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/index.html	(from )
16:42:05	930/930	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264526521-3a2%22	https://sudoariel.github.io/js/script.js	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/js/script.js	(from https://sudoariel.github.io/)
16:42:06	313/313	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264526521-139%22	https://sudoariel.github.io/js/media-selection.js	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/js/media-selection.js	(from https://sudoariel.github.io/)
16:42:07	2079/2079	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264526521-81f%22	https://sudoariel.github.io/js/console.js	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/js/console.js	(from https://sudoariel.github.io/)
16:42:08	1132/1132	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264526521-46c%22	https://sudoariel.github.io/js/projects/projects.js	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/js/projects/projects.js	(from https://sudoariel.github.io/)
16:42:09	2879/2879	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264526521-b3f%22	https://sudoariel.github.io/js/projects/projects-cards-updater.js	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/js/projects/projects-cards-updater.js	(from https://sudoariel.github.io/)
16:42:10	1336/1336	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264526521-538%22	https://sudoariel.github.io/js/projects/languages-field.js	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/js/projects/languages-field.js	(from https://sudoariel.github.io/)
16:42:11	1548/1548	---M-Z	200	added ('OK')	text/css	etag:W/%2264526521-60c%22	https://sudoariel.github.io/styles/styles.css	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/styles/styles.css	(from https://sudoariel.github.io/)
16:42:12	2334/2334	---M-Z	200	added ('OK')	text/css	etag:W/%2264526521-91e%22	https://sudoariel.github.io/styles/cards.css	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/styles/cards.css	(from https://sudoariel.github.io/)
16:42:13	3881/3881	---M-Z	200	added ('OK')	text/css	etag:W/%2264526521-f29%22	https://sudoariel.github.io/styles/timeline.css	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/styles/timeline.css	(from https://sudoariel.github.io/)
16:42:14	2551/2551	---M-Z	200	added ('OK')	text/css	etag:W/%2264526521-9f7%22	https://sudoariel.github.io/styles/navbar.css	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/styles/navbar.css	(from https://sudoariel.github.io/)
16:42:15	1152/1152	---M-Z	200	added ('OK')	text/css	etag:W/%2264526521-480%22	https://sudoariel.github.io/styles/console.css	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/styles/console.css	(from https://sudoariel.github.io/)
16:42:16	4262/4262	---M-Z	200	added ('OK')	text/css	etag:W/%2264526521-10a6%22	https://sudoariel.github.io/styles/projects.css	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/styles/projects.css	(from https://sudoariel.github.io/)
16:42:18	118220/118220	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2264526521-1cdcc%22	https://sudoariel.github.io/assets/favicon.ico	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/favicon.ico	(from https://sudoariel.github.io/)
16:42:19	291003/291003	---M--	200	added ('OK')	image/png	etag:%2264526521-470bb%22	https://sudoariel.github.io/assets/profile_picture_adjusted.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/profile_picture_adjusted.png	(from https://sudoariel.github.io/)
16:42:19	8731/8731	---M--	200	added ('OK')	image/png	etag:%2264526521-221b%22	https://sudoariel.github.io/assets/medias/linkedin.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/medias/linkedin.png	(from https://sudoariel.github.io/)
